Номер заключения;Дата;Наименование узла;Титул;Номер линии;Номер чертежа;Категория трубопровода;Номер сварного соединения;Размер свариваемых элементов;Клеймо сварщика;Заключение;Лаборатория;Файл;Оригинал;Страницы
YMT-A-0584 PT 5477;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F15;60.3x5.54+60.3x5.54;942C;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134203.pdf;К16.pdf;000025
YMT-A-0584 PT 5478;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F10;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134205.pdf;К16.pdf;000027
YMT-A-0584 PT 5479;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F11;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134207.pdf;К16.pdf;000029
YMT-A-0584 PT 5480;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F12;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134209.pdf;К16.pdf;000031
YMT-A-0584 PT 5481;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F13;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134211.pdf;К16.pdf;000033
YMT-A-0584 PT 5482;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F14;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134213.pdf;К16.pdf;000035
YMT-A-0584 PT 5483;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F6;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134215.pdf;К16.pdf;000037
YMT-A-0584 PT 5484;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F7;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134217.pdf;К16.pdf;000039
YMT-A-0584 PT 5485;20.04.2020;P1Y38746;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0155;B(a)-I;S2.11;60.3x5.54+60.3x5.54;543T;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134219.pdf;К16.pdf;000041
YMT-A-0584 PT 5477;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F15;60.3x5.54+60.3x5.54;942C;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134294.pdf;К16.pdf;000116
YMT-A-0584 PT 5478;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F10;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134296.pdf;К16.pdf;000118
YMT-A-0584 PT 5479;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F11;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134298.pdf;К16.pdf;000120
YMT-A-0584 PT 5480;20.04.2020;NA;4.1.3.11.102;1-11-0B2104;0055-4.1.3.11.102-TM.IS-0074;B(a)-I;F12;60.3x5.54+60.3x5.54;9TA0;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134300.pdf;К16.pdf;000122
