№ Заключения;Дата;Титул;Номер линии;Номер чертежа;Категория трубопровода;Наименование технологического узла;Номер СС;Размер свариваемых элементов;Клеймо сварщика;Сегменты;Заключения;Печать;Лаборатория;Файл;Оригинал;Страницы
0969-TT-RT-0281;02.03.2021;4.1.1.31.201;0-14-UWCH820196;CA01401-0-14-UWCH820196-2;;;F17R;219.1x7.04+219.1x7.04;A47S;0 - 200 200 - 400 400 - 600 600 - 0;Гoдeн/Appropriate;;"?ООО ""НГС-ЭКСПЕРТ""";Заключение РТ_002_015617.pdf;0969-TT-RT-0281.pdf;000001
0968-TT-RT-0725;01.03.2021;4.1.1.31.201;0-14-UWCH820196;CA01401-0-14-UWCH820196-1;;;F17;219.1x7.04+219.1x7.04;9E8V;0 - 200 200 - 400 400 - 600 600 - 0;Гoдeн/Appropriate;да;"?ООО ""НГС-ЭКСПЕРТ""";Заключение РТ_002_015618.pdf;0968-TT-RT-0725.pdf;000002
0946-TT-RT-0902;06.02.2021;4.1.1.31.201;0-14-UWCH820196;CA01401-0-14-UWCH820196-1;;;F3;219.1x7.04+219.1x7.04;A4XP;0 - 200 200 - 400 400 - 600 600 - 0;Гoдeн/Appropriate;да;"?ООО ""НГС-ЭКСПЕРТ""";Заключение РТ_002_015619.pdf;0946-TT-RT-0902.pdf;000003
0940-TT-RT-1411;30.01.2021;;0-14-UWCH820196;CA01401-0-14-UWCH820196-2;;HM3-NASSH;;60.3x3.91+60.3x3.91;866C;Дефектов не обнаружено;гoдeн/РРоргме;да;"Наименование лаборатории / ГаБогаогу: 000 «АКС-Сервис» / М.С ""АС$-бегисе""";Заключение РТ_002_015620.pdf;0940-TT-RT-1411.pdf;000004
0930-TT-RT-1482;20.01.2021;4.1.1.31.201;0-14-UWCH820196;CA01401-0-14-UWCH820196-2;;;F19;60.3x3.91+60.3x3.91;866C;"Aa1.2; Aa4x2.5 Аа1,5; Аа1; Аа5х3";Вырезатьаьо;да;"?ООО ""НГС-ЭКСПЕРТ""";Заключение РТ_002_015621.pdf;0930-TT-RT-1482.pdf;000005
0930-TT-RT-1481;20.01.2021;4.1.1.31.201;0-14-UWCH820196;CA01401-0-14-UWCH820196-2;;;F17;219.1x7.04+219.1x7.04;9AZ1;0- 200 200 - 400 400 - 600 600 - 0;Ремонт/Repair;да;"?ООО ""НГС-ЭКСПЕРТ""";Заключение РТ_002_015622.pdf;0930-TT-RT-1481.pdf;000006
0784-TT-RT-1810;12.08.2020;4.1.1.31.201;0-14-UWCH820196;CA01401-0-14-UWCH820196-2;;1;S22CRW;219.1x7.04+219.1x7.04;A92A;"Ca0.3; Aa0.5 Пe(exтoв нe aбнapуeнo / no defects detected Дефектов не oбapунeнo / no defects detected";аГoдeн/Appropriate;да;"?ООО ""НГС-ЭКСПЕРТ""";Заключение РТ_002_015623.pdf;0784-TT-RT-1810.pdf;000007
0758-TT-RT-3155;09.07.2020;4.1.1.31.201;0-14-UWCH820196;CA01401-0-14-UWCH820196-1;;;S11;219.1x7.04+219.1x7.04;9BAM;Дефектов не обнаружено / по 4еёес{5 detected Aa0.5;Гoдeн/Appropriate;да;"?ООО ""НГС-ЭКСПЕРТ""";Заключение РТ_002_015624.pdf;0758-TT-RT-3155.pdf;000008
0733-TT-RT-0050;03.06.2020;4.1.1.31.201;0-14-UWCH820196;CA01401-0-14-UWCH820196-1;;HM3-NASS-;S2;219.1x7.04+219.1x7.04;9KXB;Дефектов не обнаружено. `Дефектов не обнаружено Дефектов не обнаружено Дефектов не обнаружено;гoдeн/appropriate;да;"ООО «АКС-Сервис» / 11.С ""АС$-Зегуюсе""";Заключение РТ_002_015625.pdf;0733-TT-RT-0050.pdf;000009
0729-TT-RT-1202;29.05.2020;4.1.1.31.201;0-14-UWCH820196;CA01401-0-14-UWCH820196-2;;;S22R;219.1x7.04+219.1x7.04;A50R;Дефектов не обнаружено / по деес!5 диесме4 Дефектов не обнаружено / по Чеёес{5 detected 2Dc2;нpeзaть/Cutoff;да;"?ООО ""НГС-ЭКСПЕРТ""";Заключение РТ_002_015626.pdf;0729-TT-RT-1202.pdf;000010
0727-TT-RT-4426;27.05.2020;4.1.1.31.201;0-14-UWCH820196;CA01401-0-14-UWCH820196-1;;1;S5R;219.1x7.04+219.1x7.04;9L1M;0 - 200 200 - 400 400 - 600 600 - 0;Гoдeн/Appropriate;да;"?ООО ""НГС-ЭКСПЕРТ""";Заключение РТ_002_015627.pdf;0727-TT-RT-4426.pdf;000011
